alpha,beta,gamma,delta,alive
0.505815,1.75695,1.23168,1.69294,243
0.507029,1.69343,1.77104,0.511098,249
0.508608,0.945392,0.500106,0.262037,225
0.510005,1.53467,0.134318,0.541586,238
0.512192,0.754937,0.128123,0.696573,260
0.513953,0.659648,1.93222,1.9089,264
0.515775,0.564421,1.7462,1.13117,198
0.517718,1.12194,0.655094,1.81483,252
0.52033,1.64769,0.828665,0.912536,268
0.523305,1.489,1.18206,0.943023,263
0.518362,0.42475,0.544744,1.71517,287
0.507029,1.64141,0.01,0.595346,245
0.512131,2,0.888194,0.01,201
